Year,concept.REF_AREA,concept.URBANISATION,concept.COMMENT_TS,Value
2010,,,,5.3
2011,,,,4.5
2012,,,,4.4
2013,,,,2.8
2014,,,,1.2
2015,,,,1.2
2016,,,,0.8
2017,,,,0.8
2018,,,,0.6
2010,,code.U,,4.2
2011,,code.U,,2.6
2012,,code.U,,4.2
2013,,code.U,,1.6
2014,,code.U,,1.3
2015,,code.U,,1.0
2016,,code.U,,0.3
2017,,code.U,,0.3
2018,,code.U,,0.2
2010,,code.R,,6.0
2011,,code.R,,5.7
2012,,code.R,,4.5
2013,,code.R,,3.3
2014,,code.R,,1.1
2015,,code.R,,1.4
2016,,code.R,,1.1
2017,,code.R,,1.0
2018,,code.R,,0.7
2010,code.KG05,,,5.2
2011,code.KG05,,,3.6
2012,code.KG05,,,2.4
2013,code.KG05,,,8.0
2014,code.KG05,,,2.6
2015,code.KG05,,,4.0
2016,code.KG05,,,0.3
2017,code.KG05,,,3.4
2018,code.KG05,,,0.9
2010,code.KG03,,,6.4
2011,code.KG03,,,6.7
2012,code.KG03,,,14.1
2013,code.KG03,,,1.4
2014,code.KG03,,,1.1
2015,code.KG03,,,0.5
2016,code.KG03,,,0.1
2017,code.KG03,,,0.0
2018,code.KG03,,,1.0
2010,code.KG02,,,2.5
2011,code.KG02,,,1.5
2012,code.KG02,,,0.1
2013,code.KG02,,,1.9
2014,code.KG02,,,0.0
2015,code.KG02,,,0.4
2016,code.KG02,,,0.0
2017,code.KG02,,,1.0
2018,code.KG02,,,0.9
2010,code.KG04,,,12.0
2011,code.KG04,,,14.7
2012,code.KG04,,,2.5
2013,code.KG04,,,4.9
2014,code.KG04,,,1.8
2015,code.KG04,,,2.1
2016,code.KG04,,,2.6
2017,code.KG04,,,2.0
2018,code.KG04,,,2.2
2010,code.KG06,,code.until 2013 y. including Osh city,8.3
2011,code.KG06,,code.until 2013 y. including Osh city,3.7
2012,code.KG06,,code.until 2013 y. including Osh city,2.3
2013,code.KG06,,code.until 2013 y. including Osh city,4.0
2014,code.KG06,,code.until 2013 y. including Osh city,0.4
2015,code.KG06,,code.until 2013 y. including Osh city,1.2
2016,code.KG06,,code.until 2013 y. including Osh city,0.8
2017,code.KG06,,code.until 2013 y. including Osh city,0.0
2018,code.KG06,,code.until 2013 y. including Osh city,0.0
2010,code.KG07,,,5.0
2011,code.KG07,,,8.4
2012,code.KG07,,,0.9
2013,code.KG07,,,0.0
2014,code.KG07,,,0.0
2015,code.KG07,,,0.0
2016,code.KG07,,,0.0
2017,code.KG07,,,0.0
2018,code.KG07,,,0.0
2010,code.KG08,,,3.5
2011,code.KG08,,,4.9
2012,code.KG08,,,3.9
2013,code.KG08,,,2.1
2014,code.KG08,,,3.2
2015,code.KG08,,,1.7
2016,code.KG08,,,3.1
2017,code.KG08,,,1.7
2018,code.KG08,,,0.3
2010,code.KG11,,,0.5
2011,code.KG11,,,1.0
2012,code.KG11,,,1.2
2013,code.KG11,,,1.0
2014,code.KG11,,,0.0
2015,code.KG11,,,0.8
2016,code.KG11,,,0.0
2017,code.KG11,,,0.0
2018,code.KG11,,,0.3
2013,code.KG21,,,3.5
2014,code.KG21,,,3.1
2015,code.KG21,,,1.7
2016,code.KG21,,,0.0
2017,code.KG21,,,1.2
2018,code.KG21,,,0.6
