Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-1-1-1a,2
#1-2-1,3
#1-2-2,1
#1-3-1,1
#1-5-2,1
#10-2-1,1
#11-2-1,1
#11-5-2,1
#11-7-1-1a,1
#13-1-1,3
#15-1-1-1,1
#16-1-1,2
#16-1-1-1,1
#16-1-4,1
#16-1-4-1a,1
#16-2-1,1
#16-5-1-1a,1
#16-6-2-1a,2
#16-9-1,1
#16-b-1,1
#16-b-1-1,1
#17-8-1,1
#2-1-1,1
#2-2-1,2
#2-2-2,4
#2-c-1-1b,1
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-3-1,1
#3-3-2,3
#3-3-3,1
#3-3-4,3
#3-4-1,4
#3-4-2,1
#3-5-1-1,3
#3-5-2-1,3
#3-6-1,1
#3-7-1,2
#3-7-2,1
#3-9-1-1,3
#3-9-2,1
#3-9-3,1
#3-b-1,3
#4-2-1,2
#4-2-2-1a,3
#5-3-1,2
#5-6-1-1,1
#5-b-1,1
#6-1-1,1
#6-2-1,1
#6-2-1-1,1
#6-4-1-2,2
#6-4-2-1,1
#7-1-1,1
#7-1-2,1
#8-10-2,1
#8-5-2,3
#8-7-1,1
#8-8-1,5
#9-2-2,2
