Year,Type of product,Value
2010,"Meat and meat products in meat equivalent, including bacon and offal",63.132137
2011,"Meat and meat products in meat equivalent, including bacon and offal",63.132137
2012,"Meat and meat products in meat equivalent, including bacon and offal",60.195758999999995
2013,"Meat and meat products in meat equivalent, including bacon and offal",55.138662
2014,"Meat and meat products in meat equivalent, including bacon and offal",56.443718999999994
2015,"Meat and meat products in meat equivalent, including bacon and offal",64.600326
2016,"Meat and meat products in meat equivalent, including bacon and offal",63.132137
2017,"Meat and meat products in meat equivalent, including bacon and offal",62.805873
2018,"Meat and meat products in meat equivalent, including bacon and offal",65.742251
2010,Milk and dairy products in milk equivalent,106.2
2011,Milk and dairy products in milk equivalent,106.5
2012,Milk and dairy products in milk equivalent,105.75
2013,Milk and dairy products in milk equivalent,107.5
2014,Milk and dairy products in milk equivalent,107.8
2015,Milk and dairy products in milk equivalent,113.15
2016,Milk and dairy products in milk equivalent,112.25
2017,Milk and dairy products in milk equivalent,111.65
2018,Milk and dairy products in milk equivalent,109.4
2010,Eggs,43.506849
2011,Eggs,45.041096
2012,Eggs,44.273973
2013,Eggs,45.479452
2014,Eggs,44.767123
2015,Eggs,47.287671
2016,Eggs,43.835615999999995
2017,Eggs,47.123288
2018,Eggs,47.342465999999995
2010,Sugar,83.203125
2011,Sugar,83.59375
2012,Sugar,78.125
2013,Sugar,82.03125
2014,Sugar,76.953125
2015,Sugar,71.875
2016,Sugar,85.9375
2017,Sugar,89.0625
2018,Sugar,115.234375
2010,Vegetable oils,131.393493
2011,Vegetable oils,129.24425
2012,Vegetable oils,118.291347
2013,Vegetable oils,136.911281
2014,Vegetable oils,139.101862
2015,Vegetable oils,140.197152
2016,Vegetable oils,116.10076699999999
2017,Vegetable oils,112.81489599999999
2018,Vegetable oils,104.05257399999999
2010,Potatoes,98.181818
2011,Potatoes,99.494949
2012,Potatoes,99.393939
2013,Potatoes,99.494949
2014,Potatoes,99.494949
2015,Potatoes,108.28282800000001
2016,Potatoes,108.28282800000001
2017,Potatoes,107.7
2018,Potatoes,141.4
2010,Vegetables and gourds,131.3
2011,Vegetables and gourds,131.2
2012,Vegetables and gourds,131.05263200000002
2013,Vegetables and gourds,130.701754
2014,Vegetables and gourds,131.578947
2015,Vegetables and gourds,139.47368400000002
2016,Vegetables and gourds,141.403509
2017,Vegetables and gourds,153.0
2018,Vegetables and gourds,159.3
2010,Fruits and berries,24.193548
2011,Fruits and berries,23.225806
2012,Fruits and berries,19.274194
2013,Fruits and berries,21.612903
2014,Fruits and berries,23.467742
2015,Fruits and berries,25.16129
2016,Fruits and berries,34.919354999999996
2017,Fruits and berries,34.5
2018,Fruits and berries,27.0
2010,Wheat and wheat products in flour equivalent,146.666259
2011,Wheat and wheat products in flour equivalent,146.492793
2012,Wheat and wheat products in flour equivalent,145.712192
2013,Wheat and wheat products in flour equivalent,147.44686000000002
2014,Wheat and wheat products in flour equivalent,147.44686000000002
2015,Wheat and wheat products in flour equivalent,146.579526
2016,Wheat and wheat products in flour equivalent,143.659907
2017,Wheat and wheat products in flour equivalent,129.855851
2018,Wheat and wheat products in flour equivalent,99.071586
2010,Fish and fish products,16.483516
2011,Fish and fish products,20.879120999999998
2012,Fish and fish products,20.879120999999998
2013,Fish and fish products,20.879120999999998
2014,Fish and fish products,20.879120999999998
2015,Fish and fish products,20.879120999999998
2016,Fish and fish products,9.602909
2017,Fish and fish products,9.89011
2018,Fish and fish products,8.791209
