Year,Composite breakdown,Value
2014,Country: Russian Federation,465
2015,Country: Russian Federation,445
2016,Country: Russian Federation,360
2017,Country: Russian Federation,364
2018,Country: Russian Federation,347
2019,Country: Russian Federation,330
2014,Country: Republic of Belarus ,3
2015,Country: Republic of Belarus ,5
2016,Country: Republic of Belarus ,2
2017,Country: Republic of Belarus ,5
2018,Country: Republic of Belarus ,2
2014,Country: Republic of Kazakhstan,1
2015,Country: Republic of Kazakhstan,5
2016,Country: Republic of Kazakhstan,5
2017,Country: Republic of Kazakhstan,5
2018,Country: Republic of Kazakhstan,5
2019,Country: Republic of Kazakhstan,3
2014,Country: Republic of Tajikistan,50
2015,Country: Republic of Tajikistan,47
2016,Country: Republic of Tajikistan,44
2017,Country: Republic of Tajikistan,21
2018,Country: Republic of Tajikistan,33
2014,Country: People's Republic of China,0
2015,Country: People's Republic of China,0
2016,Country: People's Republic of China,0
2017,Country: People's Republic of China,25
2018,Country: People's Republic of China,15
2019,Country: People's Republic of China,27
2014,Country: Hungary,0
2015,Country: Hungary,0
2016,Country: Hungary,0
2017,Country: Hungary,23
2018,Country: Hungary,27
2019,Country: Hungary,67
